1, -2724.790571675342, -12588.747321471159, -36355.24257619485
2, -3959.8183962221055, -10573.988794047002, -26023.039923911605
3, -1882.4485692136714, -11409.076400151858, -38365.556637146125
4, -1882.4485692136714, -10272.495357445527, -46431.37442919796
5, -2384.3678987748635, -9071.114041094828, -29216.76910575664
6, -2384.3678987748635, -8456.683289367811, -29922.43048602879
7, -1792.3157986161323, -8232.137194722549, -29579.31594253407
8, -1792.3157986161323, -8599.204987164001, -32755.49809989384
9, -1812.4722567803492, -8139.89151637992, -33093.699068433656
10, -1812.4722567803492, -7897.105137872918, -30247.40041820646
11, -1883.341638574435, -7483.236563508986, -32835.43804609792
12, -2137.616611364375, -8460.610719034554, -31218.7270611021
13, -2275.509850831655, -7337.790212470351, -27112.531554902045
14, -1883.341638574435, -7924.740151688258, -31407.831333837457
15, -1883.341638574435, -6659.115005058881, -34698.09304219007
16, -1940.7466952378009, -6326.801960194243, -24408.428170130013
17, -1903.4980967386518, -7722.514936058669, -33491.65324973921
18, -1792.3157986161323, -7393.568507688507, -28855.695590620482
19, -1812.4722567803492, -7696.818534377414, -33445.4118782088
20, -1742.6041805913392, -7726.554580265776, -41925.61994879528
21, -1742.6041805913392, -7329.211620715604, -38584.859276304276
22, -1742.6041805913392, -6995.895073986856, -23677.61268444154
23, -1856.0516180543646, -7154.46421411445, -21013.670609247805
24, -1870.7703828044787, -6113.465364420076, -19978.46628274467
25, -1870.7703828044787, -6296.415347489599, -18648.76757370844
26, -1870.7703828044787, -6517.769508758318, -21147.840081894425
27, -1792.3157986161323, -5918.899105890475, -35382.00221655221
28, -1792.3157986161323, -7045.208415820537, -33261.11016632486
29, -1883.341638574435, -6844.767367201046, -25417.811624758695
30, -1903.4980967386518, -7793.407000259915, -30623.137498017575
31, -1903.4980967386518, -6870.777771720659, -26789.875517819848
32, -1882.4485692136714, -6679.799708848831, -23559.93119595524
33, -2339.2456702698873, -6727.651409283647, -32898.59401701302
34, -2275.509850831655, -6534.101919005728, -24704.269229090267
35, -2275.509850831655, -6371.174470386176, -29177.838980420132
36, -2275.509850831655, -6395.81922308344, -35121.23787699828
37, -2275.509850831655, -5813.9504747800775, -23363.356295603327
38, -1862.2921110494544, -6129.611568911948, -22381.61858556749
39, -1862.2921110494544, -5179.586996482264, -25096.527042395755
40, -1926.0279304876876, -5370.852285085954, -25968.336902085437
41, -1849.7208552794982, -5068.305534953964, -20393.639574578272
42, -1771.2662710911518, -5234.181823217347, -20157.846352154487
43, -1721.5546530663596, -5374.959263670895, -19361.477867478767
44, -1812.5804930246622, -5209.427722876238, -26040.92546182218
45, -1721.5546530663596, -4593.174466615972, -15224.09986410784
46, -1812.5804930246622, -4565.002504756326, -21574.529281292536
47, -1721.5546530663596, -4318.485340587255, -16451.761896665248
48, -1721.5546530663596, -4849.679923166418, -30710.710208534394
49, -1721.5546530663596, -5011.3599436521545, -31739.270180922023
50, -1721.5546530663596, -4675.143434370547, -21420.322874225072
51, -1721.5546530663596, -4726.136311133553, -28471.66032092991
52, -1721.5546530663596, -5094.824237527233, -35457.70147668408
53, -1721.5546530663596, -4031.612566211798, -26954.90138886274
54, -1721.5546530663596, -3462.0152230274684, -15807.826761094137
55, -1721.5546530663596, -3541.557088876935, -14290.716879099513
56, -1721.5546530663596, -4382.26491159209, -21361.373349795846
57, -1721.5546530663596, -4771.085282518748, -21466.22119819522
58, -1721.5546530663596, -4686.656471095907, -30855.13625011753
59, -1721.5546530663596, -4868.346691427048, -20652.781974332232
60, -1721.5546530663596, -4806.2730516642905, -37506.59784939813
61, -1721.5546530663596, -4488.28940829691, -21659.20983491571
62, -1721.5546530663596, -4067.769496989646, -20126.602652705013
63, -1721.5546530663596, -4303.452990970522, -16535.337090909466
64, -1721.5546530663596, -4473.949998720342, -14930.762851510852
65, -1721.5546530663596, -3968.551398328008, -35886.68086017563
66, -1721.5546530663596, -4709.412514768622, -19374.82050119007
67, -1721.5546530663596, -4095.5929753022165, -19328.294112745396
68, -1721.5546530663596, -4270.099031843842, -30856.571070556194
69, -1721.5546530663596, -4381.038118025518, -21361.373349795846
70, -1721.5546530663596, -4684.066824745148, -32301.93695522404
71, -1721.5546530663596, -4559.901454895364, -28051.832727198
72, -1721.5546530663596, -4245.917686202865, -21577.980297579525
73, -1721.5546530663596, -4665.329204773928, -20160.731667458072
74, -1721.5546530663596, -4352.722624384622, -19328.294112745396
75, -1721.5546530663596, -4848.8088787735005, -23892.7388135731
76, -1721.5546530663596, -4434.463287140228, -16352.96067375262
77, -1721.5546530663596, -4219.151377899688, -19328.294112745396
78, -1721.5546530663596, -3681.8664996655116, -19690.18522266778
79, -1721.5546530663596, -5807.341372949865, -44483.157409843356
80, -1721.5546530663596, -4653.217387482128, -18559.648827745124
81, -1721.5546530663596, -4483.770803871153, -21597.515139955045
82, -1721.5546530663596, -4718.090632093803, -25815.697999363383
83, -1721.5546530663596, -3889.413998738121, -23234.83463053109
84, -1721.5546530663596, -4364.335131060697, -22188.300160346913
85, -1721.5546530663596, -4360.828817039931, -22116.156883672564
86, -1721.5546530663596, -4180.063332387537, -37779.17522040977
87, -1721.5546530663596, -4469.606098114925, -22035.674641749218
88, -1721.5546530663596, -4262.567640447308, -19328.294112745396
89, -1721.5546530663596, -3810.1450945254705, -16804.76221579376
90, -1721.5546530663596, -4031.0953054818015, -16771.2029682046
91, -1721.5546530663596, -4146.02123774775, -23423.811354399608
92, -1721.5546530663596, -4842.227286358117, -29847.328459987257
93, -1721.5546530663596, -4565.422728650643, -31716.51930438041
